ID;Area;Lb;M;H;Rh;Su;;;;
1;1.835;2.68;0.814;1.103;0.412;3;;;;
2;1.552;2.712;0.638;0.795;0.293;3;;;;
3;3.521;3.578;0.617;1.157;0.323;3;;;;
4;3.681;3.49;0.438;0.841;0.241;4;;;;
5;2.169;3.365;0.625;0.921;0.274;3;;;;
6;2.79;3.222;0.644;1.076;0.334;3;;;;
7;3.161;3.318;0.568;1.01;0.304;4;;;;
8;4.444;4.234;0.583;1.229;0.29;3;;;;
9;16.225;5.438;0.298;1.201;0.221;5;;;;
10;0.774;1.929;0.71;0.625;0.324;3;;;;
11;4.853;3.768;0.263;0.579;0.154;4;;;;
12;18.591;6.499;0.379;1.633;0.251;5;;;;
13;0.976;1.852;0.506;0.5;0.27;3;;;;
14;31.703;9.549;0.349;1.963;0.206;5;;;;
15;99.456;15.954;0.201;2.005;0.126;6;;;;
16;1.283;1.762;0.493;0.558;0.317;3;;;;
17;7.449;3.988;0.45;1.227;0.308;4;;;;
18;1.672;2.184;0.426;0.551;0.252;3;;;;
19;7.984;4.623;0.311;0.878;0.19;4;;;;
20;4.549;2.804;0.307;0.655;0.234;4;;;;
